"","Peripartum cardiomyopathy (PPCM)","Hypertrophic cardiomyopathy (HCM)","Dilated cardiomyopathy (DCM)","Serous Ovarian Cancer Tumor","Dysplasia","Unknown","Insulin resistant","Major depression","Bipolar disorder","Schizophrenia","Cancer","AD","Early age-related maculopathy","Late non-exudative age-related maculopathy","Alzheimer's","AMD"
"AADAC",0.375472447705114,0.575660306753769,0.129589303846727,1.76708903996786,2.86713659391413,1.15554221644993,1.92041888173394,0.623265303295206,0.879897927201212,1.67890391310553,-0.274315040533071,-0.169972241207233,2.14029861530442,2.03676704073313,1.68888424174091,-0.332225266412946
"ABAT",-0.245734123173149,-1.45475366701353,-1.84799045893043,-0.688962521308525,-1.29092405755274,-1.99560676377485,-1.57324846333808,-0.42017427531844,-0.793245040582373,-1.30303535561342,-0.958282597210008,-0.0419943118349284,0.0395151253173083,0.213939815283251,-0.891872527564342,0.662148602260098
"ABCA4",-3.36820813507437,-3.39708134781303,-3.58877596101425,-3.23850934403621,-3.03124509771279,-3.24855722037985,-3.0843850281076,-3.1195101299013,-2.64486257481366,-3.09515575720138,-2.82093489104524,-0.250173051693957,-0.507552791023657,-0.870506139546638,0.0959332505750572,1.98113473126572
"ABCC8",0.215445719778686,-0.814662347814271,-1.27069442207933,-0.574737444120736,-0.993789753184703,-1.92358326274813,-0.99080615953858,-0.16792245220385,-0.438544372324141,-0.802831795412422,-0.526412443004799,-0.093526599957233,-2.1776282532441,-2.19224895110025,-0.50170808302698,0.378541095958863
"ABCG4",-0.182617396597073,-1.66784749232482,-2.08222514410958,-1.36872869293133,-1.85548321113684,-2.5921002624436,-1.83904649510976,-1.10187885856344,-1.17325430014591,-2.00453086356223,-1.63207027983294,-0.298055929629347,-2.79843900456608,-2.5588373274325,-0.591537323731933,1.1641044011507
"ABHD17C",-1.29492815929574,-1.74940967790721,-2.39823885364271,-1.74921726646599,-1.85975229499517,-2.43337130661986,-2.21696290677413,-1.32389301648279,-1.45720961062532,-1.55802516280057,-0.998701546107407,0.397181098536373,0.968279892939794,1.21288895188266,0.276356326753917,0.693382800482415
"ACBD7",-0.929908187088513,-1.28968443848695,-1.97436570365953,-1.24611381575882,-1.48677469639471,-2.35953316079939,-1.77738503647016,-0.716516041457398,-0.992118288227024,-1.87799509754615,-1.18544538105177,-0.646493611394031,-0.860515812106607,-1.67221855365446,-0.0222138570507378,0.57791068290306
"ACSL6",0.218095092695927,-1.72662229721572,-1.44669948242423,-1.41313008990462,-2.18892610747894,-3.19301341577376,-1.69671475741566,-1.26443702077935,-1.18956801388103,-2.32977082333664,-1.51139904276834,-0.614134045035168,-2.61288156399186,-2.05095795957541,-0.321536548193521,1.07606490202127
"ACTC1",0.194550158104374,-1.13225921623061,-0.654931338938899,-1.90219759803099,-1.28494274854498,-2.91749956811091,-1.41112145702576,-0.31117795989335,-0.14667221986002,1.45894569500959,1.59963922620162,1.42196649423077,-2.35465980923904,-2.29623121489074,-0.753385122136407,0.257295745361755
"ACTN2",1.26481379436791,-0.786685986293204,-0.450179551350428,-0.693688114841227,-0.857132834774204,-2.31798778134665,-0.825255080753572,0.502152823037434,0.462132258301331,1.00502135177763,1.13233604849278,0.556508703641177,-1.56903509905465,-1.07510194239096,-0.174051231406247,0.0540121254578545
