"","Peripartum cardiomyopathy (PPCM)","Hypertrophic cardiomyopathy (HCM)","Dilated cardiomyopathy (DCM)","Serous Ovarian Cancer Tumor","Dysplasia","Unknown","Insulin resistant","Major depression","Bipolar disorder","Schizophrenia","Cancer","AD","Early age-related maculopathy","Late non-exudative age-related maculopathy","Alzheimer's","AMD"
"AADAC",0.746633378675648,0.288578551077679,0.542966853651965,4.51530902902786e-08,3.88290528419993e-09,0.246061937446323,9.01819305903507e-05,0.093100172820038,0.0323654662368066,0.000174771227940351,0.00967009919773008,0.355579953692052,0.00142636028352856,0.00822283864924264,0.000505632382769555,0.00349270743884269
"ABAT",0.864035798025857,0.00870007828446133,6.0621339180934e-21,0.00838074182737479,4.23668304173775e-05,2.69849506801426e-07,6.22323593494836e-06,0.187029967383912,0.0166039849910886,8.9112110606554e-08,1.67342343539777e-19,0.824166616150136,0.715880766718414,0.571856106443707,0.0120443035950553,2.04851692693928e-09
"ABCA4",2.05801519162612e-24,6.80488532371208e-21,1.5416230432088e-121,1.59710370729888e-102,1.42560342284555e-39,1.43274252513458e-25,1.49224303475495e-42,1.63408631356922e-44,3.51197044421155e-11,9.87374470637704e-29,2.11797494169396e-69,0.598315885620365,0.336156138678125,0.288977215203521,0.873507137922642,6.68403747131e-13
"ABCC8",0.869883416805694,0.127013566920701,5.95497655889883e-12,0.0489806973730763,0.00340827132583527,1.47021475246117e-05,0.00182410558944252,0.645079693801487,0.202676418412671,0.00299929637110246,1.26969989938149e-05,0.743894536539635,3.21346124826074e-07,2.70370072528271e-08,0.162732611274881,0.0043043793838191
"ABCG4",0.873747019123981,0.000334222786087051,9.89953053667905e-32,1.73300344899422e-06,4.58909150920163e-09,1.7430955245132e-17,1.04810291334712e-08,0.000873853192175855,0.00142322385075343,1.51405439473484e-17,3.59572401264242e-40,0.393298694051815,4.84095513009155e-27,4.93836265899837e-05,0.181848020794097,2.40571351565757e-09
"ABHD17C",0.151803609102076,1.32707077775931e-05,2.65986322596224e-53,9.64413242504779e-24,2.05851032940105e-14,1.57161278229541e-05,6.14446170201892e-17,2.78032178729509e-07,5.58207125074288e-09,1.86779704611878e-12,5.58402654909823e-29,0.0454172003807265,0.01627129177982,6.14419405176462e-05,0.0938834821513821,4.95466242493422e-22
"ACBD7",0.403802900163314,0.00626963480476583,2.30232814883803e-31,3.03821575686981e-06,6.8099584945086e-06,1.75393705905147e-43,6.20994234784849e-08,0.036292781674966,0.00463836885585394,1.95147930333411e-11,4.78406600583152e-25,0.0151410765533111,0.00967133221559907,0.000653284432347253,0.942653111489729,7.60795504140228e-06
"ACSL6",0.887424026484682,0.00360056436083606,1.86290245969375e-11,1.09548087931596e-05,1.92057610708892e-09,1.99431620287173e-05,6.83709640403251e-07,0.000527620835787429,0.00179953384944705,1.11937071100696e-16,1.31820905659414e-30,0.0565307146367246,0.00576798892868009,0.00678829032950712,0.442183866298845,1.10028832339359e-08
"ACTC1",0.932862461233574,0.130150461316953,0.084412577183148,2.7180491885831e-08,0.0176563639543666,1.72413818504711e-145,0.00997306572132123,0.601662386511391,0.817953466657137,0.0689411990520644,2.18735835939315e-10,0.00788316128703778,0.000281859653741241,2.99363594335468e-05,0.0510881271698391,0.157162583534448
"ACTN2",0.539458943310094,0.268048133047479,0.182560070176637,0.0559486518948811,0.0847832368575505,1.02866947317804e-08,0.0992295937806818,0.354680075031893,0.423253273049415,0.138564250955061,1.58672194066867e-07,0.226213044129804,0.0346399534434338,0.0326760545748929,0.585338932521826,0.717606953148763
"ACVR1C",0.8775275982222,0.175262572905904,0.0914238451205179,1.61853146309328e-20,1.63965842881046e-12,2.22754288009449e-06,3.4241875337373e-08,0.000566959485728354,0.00228640839686743,4.14294699541046e-05,6.20294881677745e-11,9.54778152478664e-05,0.82241140148832,0.000850082963244493,0.538619389192595,2.08435497264897e-16
