"","Peripartum cardiomyopathy (PPCM)","Hypertrophic cardiomyopathy (HCM)","Dilated cardiomyopathy (DCM)","Serous Ovarian Cancer Tumor","Dysplasia","Unknown","Insulin resistant","Major depression","Bipolar disorder","Schizophrenia","Cancer","AD","Early age-related maculopathy","Late non-exudative age-related maculopathy","Alzheimer's","AMD"
"AADAC",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ABAT",0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,0,0,1
"ABCA4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1
"ABCC8",0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0
"ABCG4",0,0,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,0,0,1
"ABHD17C",0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,1
"ACBD7",0,0,-1,0,0,-1,-1,0,0,-1,-1,0,0,0,0,0
"ACSL6",0,0,-1,0,-1,0,-1,0,0,-1,-1,0,0,0,0,1
"ACTC1",0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0
"ACTN2",0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0
"ACVR1C",0,0,0,1,1,0,1,0,0,0,-1,0,0,0,0,-1
"ADAM11",0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0
"ADAM23",0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0
"ADAMTS1",0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,1
"ADARB2",0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,0,0,1
"ADCY1",0,0,-1,0,0,-1,0,0,0,-1,-1,0,-1,0,0,1
"ADCY2",0,0,-1,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0
"ADD2",0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0
"ADGRB2",0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0
"ADGRB3",0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0
"ADGRL1",0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0
"ADGRL3",0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,1
"ADGRV1",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1
"ADH1B",0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"ADIPOQ",0,0,0,1,1,1,1,0,0,1,0,0,-1,-1,-1,-1
"AGT",0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
