"","Peripartum cardiomyopathy (PPCM)","Hypertrophic cardiomyopathy (HCM)","Dilated cardiomyopathy (DCM)","Serous Ovarian Cancer Tumor","Dysplasia","Unknown","Insulin resistant","Major depression","Bipolar disorder","Schizophrenia","Cancer","AD","Early age-related maculopathy","Late non-exudative age-related maculopathy","Alzheimer's","AMD"
"ABBUD_LIF_SIGNALING_2_DN",-0.281264392470243,-0.833275093837999,-0.988494665115754,-0.384846770277155,-0.740668052212095,-1.0002825025455,-0.854584611692374,-0.560229499182555,-0.590917313140044,-0.792503154307962,-0.714020058287132,-0.0331813719256209,0.904823703353683,0.432265621382896,0.0624836028473403,0.480499478070696
"ABE_INNER_EAR",-0.308597950882951,-0.549586400523616,-0.643383945186318,-0.236473609288049,-0.313079118970125,-0.19390334486041,-0.522631078536648,-0.317399524471286,-0.321906402956795,-0.134417895236427,-0.24506436394389,0.107361556675242,-0.323952436010513,-0.193417175992571,-0.093892386444832,0.212468556070555
"ABE_VEGFA_TARGETS_30MIN",-0.72109309863567,-0.610474652398929,-0.915874338253745,-0.221863507289564,-0.322827926951867,0.332585078893718,-0.322630931834993,-0.326274421373707,-0.409462518213141,-0.358442021733366,-0.489176281622894,0.197566514061803,0.571001805518434,0.84688758955234,-0.0153154975744734,0.24671502582089
"ALONSO_METASTASIS_NEURAL_UP",-0.142854212715297,-0.683453131058996,-0.893736343220368,0.120586649787134,-0.0054177643290636,0.307232434915305,-0.328940616907295,-0.172049672036427,-0.287561620785437,-0.150708296235323,-0.514964550834775,0.15149741751831,0.310314496684679,0.442882998644425,-0.19694307948322,0.212057464900854
"ANDERSEN_CHOLANGIOCARCINOMA_CLASS1",-0.487673820544894,-0.68402495511615,-0.897860138277063,-0.439314977255909,-0.421962632096525,-0.375929043265154,-0.555842386390715,-0.255496694897902,-0.425093769911523,-0.350422765448564,-0.336750861567232,0.157253791782074,0.475676982579423,0.512159365201518,0.231893597590155,0.106648522082812
"ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN",-0.143632875091576,-0.57798654478419,-0.798980471138958,-0.228672396183122,-0.492854051473084,-0.736910831101408,-0.567777158426715,-0.244119165409907,-0.349603758055052,-0.640312438693257,-0.556621568967312,-0.0113742633162559,-0.280341472848192,-0.27057852793161,-0.0540996283675632,0.261515413006451
"BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3",-0.620848489778294,-0.93030245319331,-1.21202676942691,-0.387832194225364,-0.563345472494051,-0.177532415707825,-0.801116638178673,-0.630137126856242,-0.70695951186048,-0.593526949844639,-0.804757608589717,0.0166614617675984,0.926701858587411,0.893055507110646,0.353909656172784,0.453907872143827
"BEIER_GLIOMA_STEM_CELL_UP",-0.329776126463138,-0.537479991530576,-0.673763160660872,-0.177459391469913,-0.244210292433885,-0.0467679809984634,-0.389645615521879,-0.261165574938838,-0.343066617700838,-0.201948199287909,-0.345713653619751,0.0731146204508875,0.129151377636977,0.0474708362304685,0.231135859372495,0.162656562454575
"BENPORATH_EED_TARGETS",-0.2124059324143,-0.575762798585117,-0.767692454624936,-0.0638627348375445,-0.234672896345777,-0.08928405911939,-0.371522542005217,-0.194723432806095,-0.275455494603256,-0.269842409559141,-0.466428559532147,0.00976474870948962,-0.0333463945783699,0.00197317543214837,-0.0875560554648143,0.225933136552867
"BENPORATH_ES_WITH_H3K27ME3",-0.166799836798883,-0.63388600359802,-0.860054113126001,-0.102160183935146,-0.30491507618668,-0.258759810346422,-0.43176700950087,-0.192038598978933,-0.291643419231458,-0.369981397282956,-0.53744131447756,-0.010521719774625,-0.238323929083484,-0.190827118983881,-0.168231827459648,0.266119653385957
"BENPORATH_PRC2_TARGETS",-0.13708139510088,-0.709614105293633,-0.94609060617625,-0.100165116271364,-0.299837962579679,-0.308117691174479,-0.480210128060567,-0.217181746810322,-0.32067063442699,-0.371554105431934,-0.588055425490957,0.0118386210795034,-0.218789340131124,-0.139787056590671,-0.175981860532849,0.298267207997253
"BENPORATH_SUZ12_TARGETS",-0.21751881636526,-0.672679491022069,-0.905389459502835,-0.035552830367354,-0.203420012160552,-0.115243394373377,-0.413679191558365,-0.207807087014912,-0.303933893167596,-0.301649642059444,-0.56369652690694,0.0164438632764328,-0.0808066818129025,-0.019154698888209,-0.143696482550805,0.269251593891444
"BIOCARTA_AHSP_PATHWAY",1.25576005323753,0.523772099054,1.03816969195354,0.970169356681922,1.14660382286393,1.83698017053301,0.669489309135539,0.204868438771877,0.45042167109574,0.71507222066991,0.417674099192111,0.00786045799114143,-0.18969773821832,-0.155043959731247,-0.190181011160618,-0.207632764106183
"BIOCARTA_ASBCELL_PATHWAY",-1.14054436827141,-0.155629194237006,0.0162896305570381,0.304479248998552,0.137716266502889,1.31259073460643,0.195877549801961,-0.182465105943328,-0.258990503028394,0.154191413378101,-0.0102307841735731,-0.064160200189181,2.1535526991013,1.77767861620715,-0.479426316440108,0.0281077345577261
"BIOCARTA_BARRESTIN_PATHWAY",0.178125075564767,-0.531165035880728,-0.687565178935738,0.177789334465606,-0.213288502936868,-0.301458879805145,-0.303635288819047,-0.0380207735489106,-0.223879196277215,-0.482226987567005,-0.551525234399927,-0.0665567775045766,-0.718754220535033,-0.596801629701167,-0.180423092612971,0.184279960693171
