"","Peripartum cardiomyopathy (PPCM)","Hypertrophic cardiomyopathy (HCM)","Dilated cardiomyopathy (DCM)","Serous Ovarian Cancer Tumor","Dysplasia","Unknown","Insulin resistant","Major depression","Bipolar disorder","Schizophrenia","Cancer","AD","Early age-related maculopathy","Late non-exudative age-related maculopathy","Alzheimer's","AMD"
"ABBUD_LIF_SIGNALING_2_DN",0.611052839411685,0.000560181478766137,2.80140451628549e-27,0.000214826023103553,2.01015337971604e-06,1.29929802251161e-05,3.70980172821283e-07,0.000176408763940119,0.000140045831033727,9.18962422814096e-10,2.05293887805976e-42,0.713470125423497,0.000739828695166236,0.0606385329888963,0.644427267439446,1.55232499872045e-21
"ABE_INNER_EAR",0.288307216241644,0.00182828302933749,3.26315113545634e-19,4.27066765552769e-05,0.00211324857936157,0.00391758682734994,0.000119507803591641,0.00172122027412563,0.00668973480202832,0.151438904006573,2.09856480172989e-11,0.0825725809978108,0.000322040996071372,0.0261670299657868,0.258174766521224,1.15959000611875e-08
"ABE_VEGFA_TARGETS_30MIN",0.0969780351132781,0.00351850585184992,1.6562114548821e-24,0.00362608027894356,0.00989097847516917,0.0671327763076494,0.00617299579872803,0.0112674849677359,0.00342724323522398,0.000540550092125069,3.47876517276473e-24,0.0128649981157264,0.0714152425081942,0.0146941921830583,0.881580962457969,1.07426418727436e-07
"ALONSO_METASTASIS_NEURAL_UP",0.803175713034932,0.0117764190144795,2.54977862330358e-16,0.205414229278967,0.965024470046476,0.0237112396243254,0.0541774061037495,0.264144696834779,0.0716857934951798,0.148958628635512,1.24904235517534e-23,0.0274503027906678,0.020250626927511,0.00125607524291991,0.0476207131929032,4.40890313907352e-08
"ANDERSEN_CHOLANGIOCARCINOMA_CLASS1",0.203514467553805,0.000161493849737685,2.2040350592331e-34,8.77652983902315e-10,6.62532247101754e-07,0.0072495466435381,1.64987326617067e-07,0.0141159663189568,9.32169348854061e-05,1.8322406440454e-05,7.91676615451305e-18,0.00795801280504824,0.000443434325166208,1.81236483059847e-06,0.000620287945749878,0.000208589626454513
"ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN",0.813225120307402,0.00667750138875729,2.73222396206415e-22,0.0396268965009377,0.000280922559960319,1.46709272040116e-11,8.69254624312494e-05,0.0857199719621044,0.0168197873549148,3.41270564015665e-09,1.6120327139804e-36,0.888065375457102,0.00244808296926315,0.00012478826996731,0.601640855155158,7.97777349650676e-11
"BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3",0.191686662448737,5.99811830536643e-05,1.447124573298e-36,6.62770454074189e-07,2.214838636306e-05,0.0937025522505404,5.20816385384358e-07,9.76577510047121e-07,4.61903885814844e-06,1.77574509990826e-06,6.03749677803983e-51,0.850650631261097,1.25459887382907e-05,2.21176906454479e-06,0.0123174958715565,4.34862189101195e-28
"BEIER_GLIOMA_STEM_CELL_UP",0.385129863971981,0.00226811081328201,2.69662769908749e-23,0.000172909464850032,0.0144606030584481,0.387891737312603,0.00129341205781189,0.0040343570887313,0.00227078806509112,0.0114361326771132,1.76308131863916e-24,0.0554258110792975,0.0263726841062004,0.117346654841253,0.00202589223512915,9.14580614016229e-12
"BENPORATH_EED_TARGETS",0.618765639883904,0.00322892946207451,8.40695379306434e-23,0.404076347809914,0.0171416533393546,0.0302265365241375,0.002929116326557,0.081961656518769,0.0202838257682785,0.000772504716068262,2.00759239360374e-36,0.832391090927266,0.49156667939123,0.968296829721734,0.249544356482499,1.81333172993417e-14
"BENPORATH_ES_WITH_H3K27ME3",0.756341754658331,0.00453293220262992,3.56510455206492e-22,0.308955490760293,0.00525440661853765,1.723724385021e-05,0.00235975496938902,0.151011240171535,0.0348895369352056,2.4119554629284e-05,8.04024083274233e-36,0.872604227848634,0.00973626595838854,0.0144206883566101,0.106300840827693,1.17319522345408e-11
"BENPORATH_PRC2_TARGETS",0.808293206148221,0.00384291140745911,3.1590101878657e-22,0.336322324855186,0.00904702419680894,3.21170242284574e-16,0.00206776313291626,0.124796322342714,0.0303812800067835,6.13847183392985e-05,1.16798190817027e-36,0.862420335454959,0.0318169670504635,0.130585220385915,0.114632068106159,1.76373989271907e-13
"BENPORATH_SUZ12_TARGETS",0.675632670733969,0.00387423624942816,4.13054667868742e-22,0.695505181596081,0.0541034826221842,3.35903039999474e-06,0.0056657539321358,0.10912990615564,0.0286101170904585,0.000683514332406998,2.93969067706982e-38,0.77098312524657,0.337905955755666,0.802280043981842,0.124880681790224,3.52826533656016e-15
"BIOCARTA_AHSP_PATHWAY",0.319637289404284,0.105072473141491,6.27041656722963e-11,3.04112825278505e-13,1.26694779768815e-07,0.00103372290190294,0.000176560230761625,0.129155075955516,0.00632178147932699,1.12472353942098e-05,9.18284191231369e-11,0.902772319758214,0.233359946572347,0.216567322678874,0.0196452386530769,2.51114266274997e-10
"BIOCARTA_ASBCELL_PATHWAY",0.0618226486082633,0.563796984111727,0.881410921762825,0.0438473490795761,0.556606553624202,0.0186954921810074,0.260611526503153,0.30635264672257,0.228000744317085,0.376352222135756,0.882045947438376,0.657321711761146,3.40373975207733e-08,0.000531564396388785,0.0246435993814809,0.727099913377069
"BIOCARTA_BARRESTIN_PATHWAY",0.828013410579044,0.0548039844499597,4.44709908695978e-11,0.180931745927304,0.231977142988666,0.0058345475821439,0.110494118938962,0.846709884554007,0.264093390435488,0.000436532203518786,1.82820446704009e-24,0.522455440095041,0.00115244412901232,0.00425626825086996,0.216683527809922,0.000263154598801656
"BIOCARTA_BARR_MAPK_PATHWAY",0.91372921294037,0.0748105370475831,1.20224048064255e-11,0.0799943728514604,0.379107475643062,0.000121205558959598,0.125589944083301,0.897205187138825,0.249258360982741,0.00281579427928039,2.26214905218106e-23,0.687446653398267,0.00533450004766803,0.00338270150537869,0.197844354709829,7.58712269708525e-05
"BIOCARTA_BBCELL_PATHWAY",0.0618226486082633,0.563796984111727,0.881410921762825,0.0438473490795761,0.556606553624202,0.0186954921810074,0.260611526503153,0.30635264672257,0.228000744317085,0.376352222135756,0.882045947438376,0.657321711761146,3.40373975207733e-08,0.000531564396388785,0.0246435993814809,0.727099913377069
"BIOCARTA_BLYMPHOCYTE_PATHWAY",0.0506540162252513,0.545158347991599,0.593005582386236,0.0226081554178366,0.360958350090849,0.0106866880885028,0.111974630916,0.353943961608325,0.307465392984869,0.363254063262744,0.886436197540126,0.920486246160234,2.99690845070912e-10,6.32888110908307e-05,0.0426270824466801,0.88508679105077
"BIOCARTA_BOTULIN_PATHWAY",0.917566702541142,0.118794745260128,3.41037506471951e-11,0.369620002514728,0.000284975874194595,1.86170938653568e-14,0.00732544982664017,0.570259868545875,0.156458531643856,4.44090242635234e-10,1.32498963171133e-27,0.202085318775042,1.12622420179291e-15,9.11431783054055e-11,0.175348707209337,1.6159144712479e-05
"BIOCARTA_CDK5_PATHWAY",0.365911284908375,0.0317433242002796,1.75060317175581e-15,0.12221387423167,0.0326098896701181,0.359976464325334,0.00741123464442749,0.122281454792821,0.0130379106093551,0.00471395441403035,7.70355971527583e-21,0.11138298599115,0.112666645425812,0.0109008798859612,0.191794964327374,1.17679408126711e-05
"BIOCARTA_CELL2CELL_PATHWAY",0.860881651489894,0.120758172702612,3.82957918308762e-09,0.941595591382305,0.461873201310627,0.596234898358595,0.0469121520015335,0.598501249811226,0.633638505396669,0.546315834654852,0.0158624706274043,0.0336928302478522,0.0284827019641796,0.0458528640392775,0.270190812389454,0.016332746751214
"BIOCARTA_CREM_PATHWAY",0.504169443746442,0.000354326617850776,2.61928942444594e-29,3.84062304851331e-05,2.61070837351859e-05,0.000897072999743311,8.30660715469803e-06,0.00254494359106195,0.00247675997354148,1.63488808687371e-07,1.04204363038458e-34,0.201563853535026,0.00128838588619007,0.000266285336224777,0.822179945224626,3.68075330864096e-09
"BIOCARTA_CTLA4_PATHWAY",0.0400989607377651,0.736702145781899,0.00751103242030737,0.00431565597202963,0.379811472697893,0.0302607804237816,0.0123201507133562,0.903280759151259,0.737092431243947,0.528929329421623,0.832192982427712,0.239018001929881,1.91849351375605e-12,0.00011444741203226,0.0130739478706874,0.373146577645
"BIOCARTA_CTL_PATHWAY",0.0527198733475455,0.486505952208501,9.47881327179808e-05,0.0774141347707527,0.927695421816712,0.0159029259534987,0.138869036578298,0.736151383894682,0.870299495448502,0.76693948824204,0.292499580469107,0.31864865231051,2.46984838997005e-07,9.31279371104871e-05,0.105971884965987,0.0425301422028146
"BIOCARTA_DC_PATHWAY",0.105255397712212,0.891580505474103,0.0398486624175922,0.000136774159249991,0.0314659061803816,0.00235486752737578,0.0509081985767385,0.720145649289626,0.977867088168891,0.125118514594864,0.861433896282899,0.926292996954695,0.00193636010568155,0.00115664226161884,0.62596962247998,0.0621572307533462
"BIOCARTA_EOSINOPHILS_PATHWAY",0.0450171220298217,0.702655377815584,0.444636377233362,0.0250056771550411,0.421816540573935,0.0314701574270939,0.134975093920187,0.451448071952462,0.35874578965438,0.285954596157017,0.508895684950456,0.7649135830088,3.97094318718616e-08,0.000927259923879055,0.0226887501367512,0.738823165896319
"BIOCARTA_ERBB3_PATHWAY",0.028900683086162,9.35036546715897e-08,6.74258223362255e-36,1.81863806050085e-11,3.70815496104675e-09,0.0010207981531205,1.50131964926351e-07,4.88322524974791e-10,6.96489178997145e-07,4.75950768013282e-07,1.48123316838641e-38,0.0820578841963487,0.0501697423617441,0.0160624056440021,0.846464198718682,3.69366798226223e-15
"BIOCARTA_ERBB4_PATHWAY",0.570030507873917,0.0108404824784356,3.2534709362582e-18,0.132466354465522,0.000917741037075148,0.000246374187998933,0.0013153472189011,0.131667953562208,0.0337292726103647,3.6047136308112e-08,6.17531978231909e-36,0.136534559576841,0.000470668367846992,0.0177132218815433,0.0908953121266806,1.64724152771102e-09
